144,BWA,Botswana,Africa,2675352,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,582000,5,1.71%,0.03%
145,NAM,Namibia,Africa,2604172,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615,3,1.45%,0.03%
146,GAB,Gabon,Africa,2436566,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,9,1.99%,0.03%
147,LSO,Lesotho,Africa,2330318,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,77,1.06%,0.03%
148,GNB,Guinea-Bissau,Africa,2150842,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,76,2.15%,0.03%
152,GNQ,Equatorial Guinea,Africa,1714671,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,61,2.37%,0.02%
157,MUS,Mauritius,Africa,1300557,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,641,0.08%,0.02%
159,SWZ,Eswatini,Africa,1210822,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,17364,70,0.76%,0.02%
160,DJI,Djibouti,Africa,1136455,1120849,1090156,1006259,919199,742033,577173,324121,144379,23200,49,1.39%,0.01%
161,REU,Reunion,Africa,981796,974052,957822,922495,890130,785424,658992,551674,473925,2511,391,0.80%,0.01%
163,COM,Comoros,Africa,852075,836774,806166,730216,656024,536758,431119,328328,242351,1862,458,1.83%,0.01%
171,CPV,Cape Verde,Africa,598682,593149,582640,552166,521212,458251,364563,317234,287262,4033,148,0.93%,0.01%
172,ESH,Western Sahara,Africa,587259,575986,556048,491824,413296,270375,178529,116775,76371,266000,2,1.96%,0.01%
181,MYT,Mayotte,Africa,335995,326101,305587,249545,211786,159215,92659,52233,35383,374,898,3.03%,0.00%
187,STP,Sao Tome and Principe,Africa,231856,227380,218641,201124,182138,143714,120343,97210,77583,964,242,1.97%,0.00%
197,SYC,Seychelles,Africa,107660,107118,105530,99240,92409,80060,71057,65290,54379,452,234,0.51%,0.00%
